Index,Clause,Label
1.0,Agreement shall Subject terms conditions EULA Safe-T grants nontransferable license use Safe-T Cloud Software period license solely set forth,Licence-Metric
2.0,Agreement grants license use software pricing based usage-based license metric,Licence-Metric
3.0,Agreement Shall allows usage software network maximum bandwidth 500 megabits per second,Licence-Metric
4.0,Agreement Shall limit scope SaaS services Software set forth herein limitations based square footage,Licence-Metric
5.0,Agreement shall grants subscription license one user access user access use Microsoft Office 365 services five devices,Licence-Metric
6.0,Agreement shall grants usage-based license one user access use Google Cloud Platform services,Licence-Metric
7.0,Agreement shall grants usage-based license one user access use AWS services,Licence-Metric
8.0,Agreement shall grants perpetual license one user install use Oracle Database one device,Licence-Metric
9.0,Agreement shall grants perpetual license one user install use IBM DB2 one device,Licence-Metric
10.0,Agreement shall grants license based number users number features enabled,Licence-Metric
11.0,Agreement shall grants usage-based license based number requests processed amount compute time used,Licence-Metric
12.0,Agreement shall grants usage-based license based number executions amount compute time used,Licence-Metric
13.0,Agreement shall grants usage-based license based amount data processed number hosts monitored,Licence-Metric
14.0,Agreement shall grants license based number hosts,Licence-Metric
15.0,Agreement shall grants license based number nodes features enabled,Licence-Metric
16.0,Agreement shall grants license based number users features enabled,Licence-Metric
17.0,Agreement shall grants license based number contacts features enabled,Licence-Metric
18.0,Agreement shall specifies number transactions processed software given period time,Licence-Metric
19.0,Agreement shall specifies amount data stored software,Licence-Metric
20.0,Agreement shall specifies length time license valid,Licence-Metric
21.0,Agreement shall specifies level support included license,Licence-Metric
22.0,Agreement shall specifies specific features software enabled license,Licence-Metric
23.0,Agreement shall specifies amount disk space software use,Licence-Metric
24.0,Agreement shall specifies number API calls made software given period time,Licence-Metric
25.0,Agreement shall specifies amount CPU time software use,Licence-Metric
26.0,Agreement shall install Software one desktop laptop computer,Licence-Metric
27.0,Agreement shall specifies Level support included license standard premium,Licence-Metric
28.0,Agreement shall grants Number API calls made given period time,Licence-Metric
29.0,Agreement shall grants Number transactions processed given period time,Licence-Metric
30.0,Agreement shall grants number data processed hosts monitored,Licence-Metric
31.0,Agreement shall run Software authorized online sources via browser enabled installation one desktop laptop computer,Licence-Metric
32.0,License Agreement offers restricted non-exclusive non-transferable permit utilize Safe-T Cloud Software within license duration exclusively detailed,Licence-Metric
33.0,Agreement limited non-exclusive non-transferable license provided using Safe-T Cloud Software within specified license period described License Metric,Licence-Metric
34.0,Safe-T Cloud Software used solely according terms outlined restricted non-exclusive non-transferable license granted Agreement License Metric,Licence-Metric
35.0,Within license defined timeframe Agreement provides limited non-exclusive non-transferable license utilizing Safe-T Cloud Software accordance following terms License Metric,Licence-Metric
36.0,Agreement bestows upon non-transferable license limited scope non-exclusive nature utilization Safe-T Cloud Software license period subject conditions set forth,Licence-Metric
37.0,non-transferable license limited scope devoid exclusivity extended Agreement utilization Safe-T Cloud Software license duration subject stipulations laid License Metric,Licence-Metric
38.0,Within period license Agreement entitles non-transferable license limited scope non-exclusivity using Safe-T Cloud Software exclusively delineated herein License Metric,Licence-Metric
39.0,hereby granted license use Safe-T Cloud Software limited scope non-exclusive non-transferable duration license expressly detailed License Metric,Licence-Metric
40.0,Agreement provides non-transferable license restricted scope non-exclusivity allowing use Safe-T Cloud Software exclusively set forth herein within license period,Licence-Metric
41.0,Safe-T Cloud Software may used solely within license period defined herein non-transferable license limited scope lacks exclusivity License Metric,Licence-Metric
42.0,Within license basic standard premium levels support specified Agreement,License-Metric
43.0,Agreement outlines support levels included license encompass basic standard premium tiers License Metric,Licence-Metric
44.0,support levels incorporated license basic standard premium delineated Agreement,Licence-Metric
45.0,Agreement find details support levels encompassed license including basic standard premium,Licence-Metric
46.0,Support levels consist basic standard premium categories explicitly stated Agreement part license,Licence-Metric
47.0,Agreement makes clear support levels part license comprising basic standard premium tiers,Licence-Metric
48.0,levels support included license namely basic standard premium specified within Agreement,Licence-Metric
49.0,Within license Agreement elaborates support levels encompass basic standard premium,Licence-Metric
50.0,Agreement delineates support levels incorporated license including basic standard premium,Licence-Metric
51.0,levels support included license basic standard premium specified detail Agreement,Licence-Metric
52.0,License Metric software permitted use network maximum bandwidth 500 megabits per second according Agreement,Licence-Metric
53.0,Agreement authorizes use software network maximum bandwidth 500 megabits per second specified License Metric,Licence-Metric
54.0,software may utilized network maximum bandwidth 500 megabits per second accordance Agreement,Licence-Metric
55.0,Agreement grants permission software used network maximum bandwidth 500 megabits per second described License Metric,Licence-Metric
56.0,Agreement permits usage software network maximum bandwidth 500 megabits per second,Licence-Metric
57.0,software allowed operate network maximum bandwidth 500 megabits per second stipulated Agreement,Licence-Metric
58.0,According License Metric Agreement sanctions usage software network maximum bandwidth 500 megabits per second,Licence-Metric
59.0,software eligible operation network maximum bandwidth 500 megabits per second per terms Agreement,Licence-Metric
60.0,Agreement provides authorization software run network maximum bandwidth 500 megabits per second compliance,Licence-Metric
61.0,Agreement software utilized network maximum bandwidth 500 megabits per second,Licence-Metric
62.0,License Metric software permitted use network maximum bandwidth 500 megabits per second according Agreement,Licence-Metric
63.0,Agreement authorizes use software network maximum bandwidth 500 megabits per second specified,Licence-Metric
64.0,software may utilized network maximum bandwidth 500 megabits per second accordance Agreement,Licence-Metric
65.0,Agreement grants permission software used network maximum bandwidth 500 megabits per second described,Licence-Metric
66.0,Agreement permits usage software network maximum bandwidth 500 megabits per second,Licence-Metric
67.0,software allowed operate network maximum bandwidth 500 megabits per second stipulated Agreement,Licence-Metric
68.0,According License Metric Agreement sanctions usage software network maximum bandwidth 500 megabits per second,Licence-Metric
69.0,software eligible operation network maximum bandwidth 500 megabits per second per terms Agreement,Licence-Metric
70.0,Agreement provides authorization software run network maximum bandwidth 500 megabits per second compliance,Licence-Metric
71.0,Agreement software utilized network maximum bandwidth 500 megabits per second,Licence-Metric
72.0,Agreement offers subscription license allowing one user access utilize Microsoft Office 365 services five devices,Licence-Metric
73.0,Agreement entitles subscription license permits one user access utilize Microsoft Office 365 services five devices detailed,Licence-Metric
74.0,subscription license granted Agreement allowing one user access use Microsoft Office 365 services five devices,Licence-Metric
75.0,Agreement authorizes subscription license enabling one user access utilize Microsoft Office 365 services five devices accordance,Licence-Metric
76.0,Agreement gain subscription license access use Microsoft Office 365 services five devices,Licence-Metric
77.0,Agreement provides subscription license allowing one user access use Microsoft Office 365 services five devices specified,Licence-Metric
78.0,subscription license extended Agreement enabling one user access use Microsoft Office 365 services five devices,Licence-Metric
79.0,Agreement bestows subscription license permitting one user access use Microsoft Office 365 services five devices compliance License Metric,Licence-Metric
80.0,subscription license defined within Agreement facilitating one user's access utilization Microsoft Office 365 services five devices,Licence-Metric
,,
,,
1.0,Agreement shall Unauthorized use Safe-T Cloud Software failure comply provision EULA result automatic termination EULA make available Safe-T legal remedies,Audit/Verification-Rights
2.0,Agreement Shall audit use Services verify use complies terms Agreement,Audit/Verification-Rights
3.0,Agreement Shall Microsoft may conduct audits remotely on-premises facilities without prior notice,Audit/Verification-Rights
4.0,Agreement Shall let cooperate fully Microsoft's auditors provide information access reasonably necessary conduct audit,Audit/Verification-Rights
5.0,Agreement Shall give 7 days written notice audit use software documentation,Audit/Verification-Rights
6.0,Agreement Shall conduct audit cost,Audit/Verification-Rights
7.0,Agreement Shall ask reasonable assistance access information data auditor verfify compliance,Audit/Verification-Rights
8.0,Agreement Shall ask payement applicable use Software excess rights Agreement may discovered audit,Audit/Verification-Rights
9.0,Agreement Shall use audit process collect private information individuals,Audit/Verification-Rights
10.0,Agreement Shall use audit process promote violence,Audit/Verification-Rights
11.0,Agreement Shall use audit process seek sensitive information business operations,Audit/Verification-Rights
12.0,Agreement states licensor right audit license use software ensure compliance terms EULA,Audit/Verification-Rights
13.0,Agreement states licensor may conduct audits remotely on-premises license facilities,Audit/Verification-Rights
14.0,Agreement states licensee must cooperate licensor auditors provide necessary information access conduct audit,Audit/Verification-Rights
15.0,Agreement states licensor give licensee 7 days written notice conducting audit,Audit/Verification-Rights
16.0,Agreement states licensor conduct audit cost,Audit/Verification-Rights
17.0,Agreement states licensor may ask licensee reasonable assistance access information data auditor needs verify compliance EULA,Audit/Verification-Rights
18.0,Agreement states licensee may required pay additional fees audit reveals licensee exceeded rights EULA,Audit/Verification-Rights
19.0,Agreement States audit collection data information respect use Software shall subject privacy terms specified Privacy Policy,Audit/Verification-Rights
20.0,Agreement Shall set section shall survive two years past expiry termination applicable license,Audit/Verification-Rights
21.0,Agreement Shall reserves right conduct audits verify End-User-Licensee's compliance EULA,Audit/Verification-Rights
22.0,Agreement Shall right verify Customer compliance EULA time without notification,Audit/Verification-Rights
23.0,Agreement Shall let customer provide reasonable assistance verification efforts,Audit/Verification-Rights
24.0,Agreement Shall entitled demand payment additional License Fee period Customer correctly licensed,Audit/Verification-Rights
25.0,Agreement shall specifies Neither Party shall responsible Party costs associated Clause,Audit/Verification-Rights
26.0,Agreement Shall let Customer must keep usual proper records relating Subscription Customer use Product services agreement,Audit/Verification-Rights
27.0,Agreement Shall request customer conduct internal audit services use throughout Customer's organization comparing number user licenses use number user licenses issued and/or paid customer,Audit/Verification-Rights
28.0,Agreement States material unlicensed use found Customer must reimburse company costs company incurred verification also purchase necessary additional licenses prevailing prices within 30 days,Audit/Verification-Rights
29.0,Agreement Shall keep require Authorized Affiliates Professional Consultants keep accurate records sufficient detail enable Trimble effectively exercise rights,Audit/Verification-Rights
30.0,Agreement states licensee found breach EULA licensor may terminate agreement seek legal remedies,Audit/Verification-Rights
,,
,,
,,
1.0,agreement shall Dispute Resolution Governing Law event controversy dispute claim arising related EULA,Jurisdiction
2.0,agreement states parties shall follow dispute resolution procedures set forth licensee user residing Company,Jurisdiction
3.0,agreement Shall exclusively submitted courts country dispute arises relating agreement,Jurisdiction
4.0,agreement shall governed construed accordance laws State California legal action proceeding relating Agreement shall instituted state federal courts located Los Angeles County,Jurisdiction
5.0,agreement shall resolved binding arbitration accordance rules American Arbitration Association,Jurisdiction
6.0,agreement states parties shall submit binding arbitration accordance rules International Chamber Commerce London England,Jurisdiction
7.0,agreement shall brought competent courts habitual residence,Jurisdiction
8.0,agreement users accessing online services outside United States disputes shall subject arbitration accordance rules International Dispute Resolution Centre Dubai,Jurisdiction
9.0,agreement agree dispute resolution proceedings conducted individual basis class consolidated representative action,Jurisdiction
10.0,agreement state claims disputes arising Agreement shall within exclusive jurisdiction federal courts United States,Jurisdiction
11.0,agreement states government users disputes shall resolved accordance laws Country parties submit exclusive jurisdiction federal courts located City,Jurisdiction
12.0,agreement states legal action proceeding arising Software License Agreement shall venued state federal courts located within State Texas,Jurisdiction
13.0,agreement states may choose bring dispute Agreement courts located within place residence,Jurisdiction
14.0,agreement case disputes involving intellectual property right including patents trademarks copyrights parties agree submit jurisdiction appropriate federal courts,Jurisdiction
15.0,agreement shall constitute waiver right provision affect right either party assert later time failure exercise enforce right provision,Jurisdiction
16.0,agreement shall governed United Nations Convention Contracts International Sale Goods disputes shall resolved arbitration Geneva Switzerland,Jurisdiction
17.0,agreement states users digital services disputes shall subject exclusive jurisdiction Digital Services Arbitration Centre City,Jurisdiction
18.0,agreement governed laws Country Region disputes shall resolved courts City,Jurisdiction
19.0,agreement states using services consent personal jurisdiction courts specified Agreement legal action arising related Agreement,Jurisdiction
20.0,agreement states parties agree engage good faith negotiations necessary submit alternative dispute resolution initiating formal legal proceedings,Jurisdiction
21.0,agreement states delay failure either party assert rights claims Agreement constitute waiver rights claims shall affect ability assert later time,Jurisdiction
22.0,agreement grant third party right bring dispute claim party Agreement,Jurisdiction
23.0,agreement states Disputes related software updates patches shall subject arbitration accordance rules Software Update Resolution Center (SURC) [City],Jurisdiction
24.0,agreement outside jurisdiction European Union shall deemed invalid,Jurisdiction
25.0,agreement states legal action proceeding relating Agreement shall brought exclusively state federal courts located within Silicon Valley area California,Jurisdiction
26.0,agreement states dispute CUSTOMER WSP regard Agreement shall exclusively submitted courts New York acquired WSP Software Services United States,Jurisdiction
27.0,case dispute controversy arises relates EULA agreement shall govern resolution applicable law,Jurisdiction
28.0,EULA shall manage dispute resolution governing law whenever controversy claim arises,Jurisdiction
29.0,Whenever dispute claim concerning EULA agreement oversee resolution process applicable legal provisions,Jurisdiction
30.0,agreement charge dispute resolution applicable law whenever dispute controversy arises connection EULA,Jurisdiction
31.0,event dispute claim controversy arising related EULA agreement determine dispute resolution procedures relevant legal framework,Jurisdiction
32.0,EULA preside dispute resolution choice governing law event dispute controversy claim,Jurisdiction
33.0,Whenever dispute claim controversy arises regarding EULA agreement dictate procedures resolution governing legal principles,Jurisdiction
34.0,case dispute claim arising relating EULA agreement shall determine rules dispute resolution applicable legal system,Jurisdiction
35.0,agreement shall responsible dispute resolution selection governing law whenever dispute controversy claim arises connection EULA,Jurisdiction
36.0,Whenever controversy claim dispute arises relation EULA agreement guide process dispute resolution choice applicable law,Jurisdiction
37.0,agreement asserts licensee resides Company parties must adhere dispute resolution procedures outlined,Jurisdiction
38.0,licensee resident Company agreement mandates parties compliance specified dispute resolution procedures,Jurisdiction
39.0,event licensee resides Company agreement dictates parties shall observe dispute resolution procedures outlined,Jurisdiction
40.0,agreement stipulates licensee based Company parties obligated follow dispute resolution procedures described,Jurisdiction
41.0,licensee's residence Company agreement requires parties adhere specified dispute resolution procedures,Jurisdiction
42.0,case licensee resident Company agreement enforces parties adherence prescribed dispute resolution procedures,Jurisdiction
43.0,agreement outlines licensee situated Company parties shall abide designated dispute resolution procedures,Jurisdiction
44.0,licensee reside Company agreement compels parties comply outlined dispute resolution procedures,Jurisdiction
45.0,agreement declares licensee based Company parties must follow dispute resolution procedures specified,Jurisdiction
46.0,circumstance licensee user residing Company agreement directs parties follow stated dispute resolution procedures,Jurisdiction
47.0,agreement shall exclusively submitted courts country dispute arises relating agreement,Jurisdiction
48.0,agreement states parties shall follow dispute resolution procedures set forth licensee user residing company,Jurisdiction
49.0,agreement outlines governing law applies controversy dispute claim arising related EULA,Jurisdiction
50.0,agreement sets terms dispute resolution event controversy dispute arising EULA,Jurisdiction
51.0,agreement specifies dispute claim arising EULA shall resolved stated dispute resolution procedures,Jurisdiction
52.0,agreement requires parties follow dispute resolution procedures licensee user residing company,Jurisdiction
53.0,agreement designates courts country exclusive venue resolving disputes related agreement,Jurisdiction
54.0,agreement mandates controversy arising must submitted exclusively courts country,Jurisdiction
55.0,agreement determines governing law disputes arising specified within document,Jurisdiction
56.0,agreement compels parties adhere outlined dispute resolution procedures arising controversies,Jurisdiction
57.0,agreement shall governed construed accordance laws State California,Jurisdiction
58.0,legal action proceeding relating Agreement shall instituted state federal courts,Jurisdiction
59.0,legal action proceeding shall instituted state federal courts located Los Angeles County,Jurisdiction
60.0,courts designated venues handling legal action proceeding related Agreement,Jurisdiction
61.0,Agreement specifies governing law laws State California,Jurisdiction
62.0,accordance governing law legal matters arising Agreement must addressed,Jurisdiction
63.0,choice law venue outlined within Agreement clarity,Jurisdiction
64.0,Agreement ensures legal actions proceedings conducted laws California,Jurisdiction
65.0,Legal action proceedings related Agreement must initiated within state federal courts,Jurisdiction
66.0,Agreement's terms clear regarding jurisdiction governing law resolving legal matters,Jurisdiction
67.0,agreement shall resolved binding arbitration,Jurisdiction
68.0,resolution accordance rules American Arbitration Association,Jurisdiction
69.0,Agreement specifies method dispute resolution,Jurisdiction
70.0,clearly outlines resolution achieved binding arbitration,Jurisdiction
71.0,use binding arbitration governed specific rules,Jurisdiction
72.0,rules American Arbitration Association,Jurisdiction
73.0,Agreement designates arbitration chosen method dispute resolution,Jurisdiction
74.0,rules American Arbitration Association provide framework process,Jurisdiction
75.0,Binding arbitration agreed-upon approach settling disputes arising Agreement,Jurisdiction
76.0,American Arbitration Association's rules guiding principles arbitration process,Jurisdiction
77.0,agreement pertains users accessing online services outside United States,Jurisdiction
78.0,Disputes involving users shall subject arbitration,Jurisdiction
79.0,arbitration conducted accordance specific rules,Jurisdiction
80.0,rules International Dispute Resolution Centre Dubai,Jurisdiction
81.0,users located outside United States Agreement applicable,Jurisdiction
82.0,Agreement governs terms accessing online services internationally,Jurisdiction
83.0,Users residing abroad bound terms outlined Agreement,Jurisdiction
84.0,disputes arise arbitration chosen method resolution,Jurisdiction
85.0,process arbitration follows established rules,Jurisdiction
86.0,rules specifically International Dispute Resolution Centre Dubai,Jurisdiction
87.0,Users outside United States encompassed Agreement,Jurisdiction
88.0,International users accessing online services subject terms,Jurisdiction
89.0,Agreement applies individuals entities accessing services globally,Jurisdiction
90.0,disagreements occur arbitration designated process,Jurisdiction
91.0,rules governing arbitration outlined International Dispute Resolution Centre Dubai,Jurisdiction
92.0,Users situated abroad included scope Agreement,Jurisdiction
93.0,accessing online services internationally must adhere terms,Jurisdiction
94.0,Agreement establishes guidelines users worldwide,Jurisdiction
95.0,cases dispute arbitration serves primary method resolution,Jurisdiction
96.0,arbitration process follows specific rules International Dispute Resolution Centre Dubai,Jurisdiction
97.0,agreement also take account applicable legal provisions,Jurisdiction
98.0,event dispute claim EULA guiding document,Jurisdiction
99.0,dictate procedures resolving matters,Jurisdiction
100.0,Whenever disputes claims arise agreement takes charge,Jurisdiction
101.0,determines steps necessary resolution,Jurisdiction
102.0,considers legal provisions apply,Jurisdiction
103.0,dispute claim EULA plays central role,Jurisdiction
104.0,ensures adherence prescribed resolution process relevant legal provisions,Jurisdiction
,,
,,
,,
,,
1.0,agreement may terminate immediately breach terms fail comply policies provide,Termination
2.0,agreement states Failure pay required fees within specified timeframes may result immediate termination Agreement,Termination
3.0,agreement states use software services unauthorized purposes violation applicable laws reserve right terminate Agreement,Termination
4.0,agreement shall terminate Misuse resources including excessive bandwidth system resources,Termination
5.0,agreement shall terminate due prolonged inactivity,Termination
6.0,agreement shall terminate login usage certain time,Termination
7.0,agreement shall terminate found Engaging activities compromise security integrity services,Termination
8.0,agreement shall terminate Infringing intellectual property rights rights others,Termination
9.0,agreement shall terminate unauthorized access misuse personal data privacy violations,Termination
10.0,agreement shall terminate found Violations export control laws regulations,Termination
11.0,agreement shall terminate unable perform obligations due unforeseen circumstances beyond control,Termination
12.0,agreement shall terminate organization become insolvent file bankruptcy,Termination
13.0,agreement shall terminate upon expiration license period,Termination
14.0,agreement shall terminate business undergoes substantial change direction ownership,Termination
15.0,agreement shall terminate found event merger acquisition,Termination
16.0,agreement shall terminate changes regulatory requirements make impossible continue,Termination
17.0,agreement shall terminate relocate data center services affected,Termination
18.0,agreement shall terminate excessive use resources violation fair usage policy,Termination
19.0,agreement shall terminate failure perform obligations meet milestones specified,Termination
20.0,agreement shall terminate hosting distributing infringing content,Termination
21.0,agreement shall terminate reason [specific notice period] without penalty,Termination
22.0,agreement shall terminate violations acceptable use policy,Termination
23.0,agreement shall terminate change applicable laws regulations makes impossible continue Agreement,Termination
24.0,agreement shall terminate failure provide accurate up-to-date contact information,Termination
25.0,agreement shall terminate discontinue provision specific services software,Termination
26.0,agreement shall terminate engaging conduct violates established code conduct,Termination
27.0,agreement shall terminate substantial changes made terms Agreement,Termination
28.0,agreement shall terminate breach Agreement occurs cured within specified notice period,Termination
29.0,agreement shall terminate disrupting interfering proper operation service,Termination
30.0,agreement shall terminate unauthorized disclosure confidential information violation nondisclosure agreement,Termination
31.0,agreement subject termination certain conditions met,Termination
32.0,termination clause becomes applicable specific terms violated,Termination
33.0,Immediate termination possible upon breach agreement's terms,Termination
34.0,Breaching stipulated terms triggers termination process,Termination
35.0,terms violated agreement allows immediate termination,Termination
36.0,Failure comply policies provide lead termination,Termination
37.0,Termination becomes option non-compliance occurs,Termination
38.0,breach terms non-compliance activates termination clause,Termination
39.0,case policy violations agreement terminated,Termination
40.0,Immediate termination may result breaches policy non-compliance,Termination
41.0,agreement may terminate immediately breach terms,Termination
42.0,Breaching terms agreement could lead immediate termination,Termination
43.0,Termination may occur swiftly agreement's terms violated,Termination
44.0,Violating terms may result agreement's termination without delay,Termination
45.0,Immediate termination possible upon breaching terms agreement,Termination
46.0,agreement provisions swift termination case breaches,Termination
47.0,breach terms agreement allows immediate termination,Termination
48.0,agreement outlines possibility quick termination violations,Termination
49.0,Swift termination consequence breaches agreement,Termination
50.0,agreement terms emphasize potential immediate termination,Termination
51.0,agreement also terminate fail comply policies provide,Termination
52.0,Non-compliance provided policies may lead termination agreement,Termination
53.0,Termination could result adhering policies provide,Termination
54.0,agreement mentions failing follow provided policies result termination,Termination
55.0,Non-compliance policies grounds terminating agreement,Termination
56.0,comply policies provide agreement terminated,Termination
57.0,Termination may triggered lack compliance policies,Termination
58.0,agreement allows termination provided policies followed,Termination
59.0,adhering policies provide could lead agreement's termination,Termination
60.0,Failing comply provided policies explicitly linked termination agreement,Termination
